country,year,population
Bangladesh,1987,
Bangladesh,1992,
Bangladesh,1997,
Bangladesh,2002,
Bangladesh,2007,
Brazil,1972,
Brazil,1977,
Brazil,1982,
Brazil,1987,
Brazil,1992,
Brazil,1997,
Brazil,2002,
Brazil,2007,
China,1952,
China,1957,
China,1962,
China,1967,
China,1972,
China,1977,
China,1982,
China,1987,
China,1992,
China,1997,
China,2002,
China,2007,
India,1952,
India,1957,
India,1962,
India,1967,
India,1972,
India,1977,
India,1982,
India,1987,
India,1992,
India,1997,
India,2002,
India,2007,
Indonesia,1967,
Indonesia,1972,
Indonesia,1977,
Indonesia,1982,
Indonesia,1987,
Indonesia,1992,
Indonesia,1997,
Indonesia,2002,
Indonesia,2007,
Japan,1967,
Japan,1972,
Japan,1977,
Japan,1982,
Japan,1987,
Japan,1992,
Japan,1997,
Japan,2002,
Japan,2007,
Mexico,2002,
Mexico,2007,
Nigeria,1997,
Nigeria,2002,
Nigeria,2007,
Pakistan,1987,
Pakistan,1992,
Pakistan,1997,
Pakistan,2002,
Pakistan,2007,
United States,1952,
United States,1957,
United States,1962,
United States,1967,
United States,1972,
United States,1977,
United States,1982,
United States,1987,
United States,1992,
United States,1997,
United States,2002,
United States,2007,
